order,date,time,url,visitCount
72,11/3/2020,7:34:08,https://www.programiz.com/dsa/linked-list,1
73,11/3/2020,7:33:56,https://www.google.com/search?q=python+linked+list&ei=qbqgX9j4Fu_G4-EP5r-KQA&start=10&sa=N&ved=2ahUKEwiY8evBpOXsAhVv4zgGHeafAggQ8tMDegQIExAv&biw=1440&bih=789,2
74,11/3/2020,7:33:56,https://www.google.com/search?q=python+linked+list&ei=qbqgX9j4Fu_G4-EP5r-KQA&start=10&sa=N&ved=2ahUKEwiY8evBpOXsAhVv4zgGHeafAggQ8tMDegQIExAv&biw=1440&bih=789,2
75,11/3/2020,7:33:23,https://realpython.com/linked-lists-python/,1
76,11/3/2020,7:33:06,https://www.google.com/search?q=python+linked+list&oq=python+linked&aqs=chrome.0.0i457j0j69i57j0l5.8721j0j7&sourceid=chrome&ie=UTF-8,1
77,11/3/2020,7:32:18,"https://codeforwin.org/2015/09/c-program-to-delete-all-nodes-of-singly-linked-list.html#:~:text=Enter%20the%20total%20number%20of%20nodes%3A%205%20Enter%20the%20data,to%20delete%20entire%20list%3A%201",1
78,11/3/2020,7:32:11,https://www.google.com/search?biw=1440&bih=789&ei=TrqgX8WeNOSP4-EP2YKsiA0&q=singly+linked+list+delete+all+datas&oq=singly+linked+list+delete+all+datas&gs_lcp=CgZwc3ktYWIQAzIICCEQFhAdEB46BAgAEEc6BwghEAoQoAE6BQghEKABUMvRAViU6QFgz4ICaABwAngAgAGjAYgBzwmSAQQwLjEwmAEAoAEBqgEHZ3dzLXdpesgBCMABAQ&sclient=psy-ab&ved=0ahUKEwjF_daWpOXsAhXkxzgGHVkBC9EQ4dUDCA0&uact=5,2
79,11/3/2020,7:32:10,https://www.google.com/search?biw=1440&bih=789&ei=TrqgX8WeNOSP4-EP2YKsiA0&q=singly+linked+list+delete+all+datas&oq=singly+linked+list+delete+all+datas&gs_lcp=CgZwc3ktYWIQAzIICCEQFhAdEB46BAgAEEc6BwghEAoQoAE6BQghEKABUMvRAViU6QFgz4ICaABwAngAgAGjAYgBzwmSAQQwLjEwmAEAoAEBqgEHZ3dzLXdpesgBCMABAQ&sclient=psy-ab&ved=0ahUKEwjF_daWpOXsAhXkxzgGHVkBC9EQ4dUDCA0&uact=5,2
80,11/3/2020,7:31:36,https://www.google.com/search?biw=1440&bih=789&ei=QbqgX6SRI8XH4-EPw5a6-As&q=singly+linked+list+delete+all+nodes&oq=singly+linked+list+delete++all&gs_lcp=CgZwc3ktYWIQARgBMggIIRAWEB0QHjIICCEQFhAdEB4yCAghEBYQHRAeMggIIRAWEB0QHjIICCEQFhAdEB4yCAghEBYQHRAeMggIIRAWEB0QHjIICCEQFhAdEB46BAgAEEc6BwgAEMkDEEM6BAgAEEM6AggAOgUIABDJAzoGCAAQFhAeOgkIABDJAxAWEB5Q1RFYrFJgll5oAHACeACAAX-IAaQJkgEDNS43mAEAoAEBqgEHZ3dzLXdpesgBCMABAQ&sclient=psy-ab,2
81,11/3/2020,7:31:35,https://www.google.com/search?biw=1440&bih=789&ei=QbqgX6SRI8XH4-EPw5a6-As&q=singly+linked+list+delete+all+nodes&oq=singly+linked+list+delete++all&gs_lcp=CgZwc3ktYWIQARgBMggIIRAWEB0QHjIICCEQFhAdEB4yCAghEBYQHRAeMggIIRAWEB0QHjIICCEQFhAdEB4yCAghEBYQHRAeMggIIRAWEB0QHjIICCEQFhAdEB46BAgAEEc6BwgAEMkDEEM6BAgAEEM6AggAOgUIABDJAzoGCAAQFhAeOgkIABDJAxAWEB5Q1RFYrFJgll5oAHACeACAAX-IAaQJkgEDNS43mAEAoAEBqgEHZ3dzLXdpesgBCMABAQ&sclient=psy-ab,2
82,11/3/2020,7:31:23,https://www.google.com/search?biw=1440&bih=789&ei=J7qgX-_MEYiX4-EPsouN6A4&q=singly+linked+list&oq=sinlinked+list+&gs_lcp=CgZwc3ktYWIQARgAMgYIABAHEB4yBggAEAcQHjIGCAAQBxAeMgYIABAHEB4yBggAEAcQHjIGCAAQBxAeMgYIABAHEB4yBggAEAcQHjIGCAAQBxAeMgYIABAHEB46BAgAEEc6BwgAEMkDEEM6BQgAEJECOgIIADoECAAQQzoECAAQDVCUe1jTtgFgg8QBaAFwAngAgAF2iAGIBZIBAzAuNpgBAKABAaoBB2d3cy13aXrIAQjAAQE&sclient=psy-ab,2
83,11/3/2020,7:31:22,https://www.google.com/search?biw=1440&bih=789&ei=J7qgX-_MEYiX4-EPsouN6A4&q=singly+linked+list&oq=sinlinked+list+&gs_lcp=CgZwc3ktYWIQARgAMgYIABAHEB4yBggAEAcQHjIGCAAQBxAeMgYIABAHEB4yBggAEAcQHjIGCAAQBxAeMgYIABAHEB4yBggAEAcQHjIGCAAQBxAeMgYIABAHEB46BAgAEEc6BwgAEMkDEEM6BQgAEJECOgIIADoECAAQQzoECAAQDVCUe1jTtgFgg8QBaAFwAngAgAF2iAGIBZIBAzAuNpgBAKABAaoBB2d3cy13aXrIAQjAAQE&sclient=psy-ab,2
84,11/3/2020,7:30:56,https://www.google.com/search?q=linked+list+project+in+python+geeksforgeeks&ei=FrqgX8vTDPuT4-EPmteR6A4&start=20&sa=N&ved=2ahUKEwjLttX7o-XsAhX7yTgGHZprBO04HhDy0wN6BAgMEDI&biw=1440&bih=789,2
85,11/3/2020,7:30:56,https://www.google.com/search?q=linked+list+project+in+python+geeksforgeeks&ei=FrqgX8vTDPuT4-EPmteR6A4&start=20&sa=N&ved=2ahUKEwjLttX7o-XsAhX7yTgGHZprBO04HhDy0wN6BAgMEDI&biw=1440&bih=789,2
86,11/3/2020,7:30:39,https://www.google.com/search?q=linked+list+project+in+python+geeksforgeeks&ei=ELqgX-vnF6KE4-EPv76toAU&start=30&sa=N&ved=2ahUKEwjrr_L4o-XsAhUiwjgGHT9fC1Q4KBDy0wN6BAgMEDQ&biw=1440&bih=789,2
87,11/3/2020,7:30:39,https://www.google.com/search?q=linked+list+project+in+python+geeksforgeeks&ei=ELqgX-vnF6KE4-EPv76toAU&start=30&sa=N&ved=2ahUKEwjrr_L4o-XsAhUiwjgGHT9fC1Q4KBDy0wN6BAgMEDQ&biw=1440&bih=789,2
88,11/3/2020,7:30:34,https://www.google.com/search?q=linked+list+project+in+python+geeksforgeeks&ei=CrqgX8tD1Zrj4Q-u-p3oBA&start=40&sa=N&ved=2ahUKEwjL8Oz1o-XsAhVVzTgGHS59B004MhDy0wN6BAgMEDY&biw=1440&bih=789,2
89,11/3/2020,7:30:33,https://www.google.com/search?q=linked+list+project+in+python+geeksforgeeks&ei=CrqgX8tD1Zrj4Q-u-p3oBA&start=40&sa=N&ved=2ahUKEwjL8Oz1o-XsAhVVzTgGHS59B004MhDy0wN6BAgMEDY&biw=1440&bih=789,2
90,11/3/2020,7:30:27,https://www.google.com/search?q=linked+list+project+in+python+geeksforgeeks&ei=BbqgX5uLF42O4-EP266c0A8&start=50&sa=N&ved=2ahUKEwjbodLzo-XsAhUNxzgGHVsXB_o4PBDy0wN6BAgMEDg&biw=1440&bih=789,2
91,11/3/2020,7:30:26,https://www.google.com/search?q=linked+list+project+in+python+geeksforgeeks&ei=BbqgX5uLF42O4-EP266c0A8&start=50&sa=N&ved=2ahUKEwjbodLzo-XsAhUNxzgGHVsXB_o4PBDy0wN6BAgMEDg&biw=1440&bih=789,2
92,11/3/2020,7:30:23,https://www.google.com/search?q=linked+list+project+in+python+geeksforgeeks&ei=_7mgX8-_M42Q4-EPg46r8Ac&start=60&sa=N&ved=2ahUKEwiPu4Dxo-XsAhUNyDgGHQPHCn44RhDy0wN6BAgMEDo&biw=1440&bih=789,2
93,11/3/2020,7:30:22,https://www.google.com/search?q=linked+list+project+in+python+geeksforgeeks&ei=_7mgX8-_M42Q4-EPg46r8Ac&start=60&sa=N&ved=2ahUKEwiPu4Dxo-XsAhUNyDgGHQPHCn44RhDy0wN6BAgMEDo&biw=1440&bih=789,2
94,11/3/2020,7:30:17,https://www.google.com/search?q=linked+list+project+in+python+geeksforgeeks&ei=9LmgX4KsI6qZ4-EP7Za14Ao&start=70&sa=N&ved=2ahUKEwiC9tDro-XsAhWqzDgGHW1LDaw4UBDy0wN6BAgJEDw&biw=1440&bih=789,2
95,11/3/2020,7:30:16,https://www.google.com/search?q=linked+list+project+in+python+geeksforgeeks&ei=9LmgX4KsI6qZ4-EP7Za14Ao&start=70&sa=N&ved=2ahUKEwiC9tDro-XsAhWqzDgGHW1LDaw4UBDy0wN6BAgJEDw&biw=1440&bih=789,2
96,11/3/2020,7:30:06,https://www.google.com/search?q=linked+list+project+in+python+geeksforgeeks&ei=8rmgX6KYAsyb4-EP95qfiAs&start=80&sa=N&ved=2ahUKEwii2bXqo-XsAhXMzTgGHXfNB7E4WhDy0wN6BAgBED0&biw=1440&bih=789,2
97,11/3/2020,7:30:05,https://www.google.com/search?q=linked+list+project+in+python+geeksforgeeks&ei=8rmgX6KYAsyb4-EP95qfiAs&start=80&sa=N&ved=2ahUKEwii2bXqo-XsAhXMzTgGHXfNB7E4WhDy0wN6BAgBED0&biw=1440&bih=789,2
98,11/3/2020,7:30:03,https://www.google.com/search?q=linked+list+project+in+python+geeksforgeeks&ei=4LmgX6T2POjH4-EPjP-G6AM&start=90&sa=N&ved=2ahUKEwik5qXio-XsAhXo4zgGHYy_AT0Q8tMDegQIDBA_&biw=1440&bih=789,2
99,11/3/2020,7:30:02,https://www.google.com/search?q=linked+list+project+in+python+geeksforgeeks&ei=4LmgX6T2POjH4-EPjP-G6AM&start=90&sa=N&ved=2ahUKEwik5qXio-XsAhXo4zgGHYy_AT0Q8tMDegQIDBA_&biw=1440&bih=789,2
100,11/3/2020,7:29:55,https://www.geeksforgeeks.org/data-structures/linked-list/,1
101,11/3/2020,7:29:47,https://www.google.com/search?ei=s7mgX-T1C6-Y4-EP7Nm08AI&q=linked+list+project+in+python+geeksforgeeks&oq=linked+list+project+in+python&gs_lcp=CgZwc3ktYWIQARgAMggIIRAWEB0QHjIICCEQFhAdEB4yCAghEBYQHRAeMggIIRAWEB0QHjIICCEQFhAdEB4yCAghEBYQHRAeMggIIRAWEB0QHjIICCEQFhAdEB4yCAghEBYQHRAeMggIIRAWEB0QHjoECAAQRzoFCAAQyQM6AggAOgYIABAWEB46CAgAEBYQChAeUIUvWPlMYKTYAmgAcAJ4AIABfYgB2giSAQQwLjEwmAEAoAEBqgEHZ3dzLXdpesgBCMABAQ&sclient=psy-ab,2
102,11/3/2020,7:29:45,https://www.google.com/search?ei=s7mgX-T1C6-Y4-EP7Nm08AI&q=linked+list+project+in+python+geeksforgeeks&oq=linked+list+project+in+python&gs_lcp=CgZwc3ktYWIQARgAMggIIRAWEB0QHjIICCEQFhAdEB4yCAghEBYQHRAeMggIIRAWEB0QHjIICCEQFhAdEB4yCAghEBYQHRAeMggIIRAWEB0QHjIICCEQFhAdEB4yCAghEBYQHRAeMggIIRAWEB0QHjoECAAQRzoFCAAQyQM6AggAOgYIABAWEB46CAgAEBYQChAeUIUvWPlMYKTYAmgAcAJ4AIABfYgB2giSAQQwLjEwmAEAoAEBqgEHZ3dzLXdpesgBCMABAQ&sclient=psy-ab,2
103,11/3/2020,7:28:59,https://www.google.com/search?q=slinked+list+project&oq=slinked+list+project&aqs=chrome..69i57j0i13i457j0i13l3j0i13i30j0i5i13i30l2.18969j0j7&sourceid=chrome&ie=UTF-8,1
104,11/3/2020,7:28:21,https://www.google.com/search?q=slinked+list+project&oq=slinked+list+project&aqs=chrome..69i57j0i13i457j0i13l3j0i13i30j0i5i13i30l2.18969j0j7&sourceid=chrome&ie=UTF-8,1
105,11/3/2020,7:23:32,https://lacraiatorrent.com/series/,1
106,11/2/2020,21:40:33,https://www.geeksforgeeks.org/python-classes-and-objects/?ref=lbp,1
107,11/2/2020,21:29:19,https://www.geeksforgeeks.org/python-set-3-strings-lists-tuples-iterations/?ref=lbp,3
108,11/2/2020,21:26:35,https://www.google.com/search?q=bca&oq=bca&aqs=chrome..69i57j0i433l2j0j0i433l2j0j0i433.1493j0j7&sourceid=chrome&ie=UTF-8,1
109,11/2/2020,21:25:58,https://www.google.com/search?q=tracking+algorithm&oq=tracking+algorithm&aqs=chrome..69i57j0l5.11890j1j7&sourceid=chrome&ie=UTF-8,1
110,11/2/2020,21:24:55,https://www.w3schools.com/python/python_classes.asp,3
111,11/2/2020,21:24:30,https://www.w3schools.com/python/,2
112,11/2/2020,21:24:23,https://www.google.com/search?q=PYTHON&oq=python&aqs=chrome.0.69i59j0j0i433j0j46i433j69i65l3.2235j0j7&sourceid=chrome&ie=UTF-8,1
113,11/2/2020,18:53:14,https://www.google.com/search?q=sahith+reddy&oq=sahith+reddy&aqs=chrome.0.0i457j0l5j0i22i30l2.4214j0j7&sourceid=chrome&ie=UTF-8,2
114,11/2/2020,18:53:11,https://www.google.com/search?q=sahith+reddy&source=lnms&tbm=nws&sa=X&ved=2ahUKEwiLvpzR-uPsAhUWwjgGHdaHBbkQ_AUoAnoECAwQBA&biw=1440&bih=789,2
115,11/2/2020,18:53:10,https://www.google.com/search?q=sahith+reddy&source=lnms&tbm=nws&sa=X&ved=2ahUKEwiLvpzR-uPsAhUWwjgGHdaHBbkQ_AUoAnoECAwQBA&biw=1440&bih=789,2
116,11/2/2020,18:53:05,https://www.google.com/search?q=sahith+reddy&oq=sahith+reddy&aqs=chrome.0.0i457j0l5j0i22i30l2.4214j0j7&sourceid=chrome&ie=UTF-8,2
